# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
K2-199 b,Confirmed,0.0217,0.0057,0.0057,,,,0.1543,0.0045,0.0045,3.2253993,2.4e-06,2.4e-06,0.0382,0.0004,0.0004,0.02,0.02,0.03,88.35,6.0,6.0,,2018,2021-10-15,171.0,120.0,131.0,,,,,,,2457218.73773,0.00055,0.00051,,,,,,,0.25,0.15,0.15,,,,3.8,1.0,1.0,913.0,23.0,23.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J13553641-0608100 b, EPIC 212779596 b, EPIC 212779596.01, WISE J135536.36-060809.9 b",,K2-199,208.901703,-6.136143,,,10.277,9.726,,107.97,0.59,0.59,-0.11,0.05,0.05,0.73,0.02,0.02,0.68,0.01,0.01,,,,,4648.0,52.0,52.0,,,"2MASS J13553641-0608100, EPIC 212779596, WISE J135536.36-060809.9"
K2-216 b,Confirmed,0.02517,0.00503,0.00503,,,,0.156,0.009,0.015,2.1748,5e-05,5e-05,0.028,0.007,0.004,0.0,,,86.9,4.0,2.2,,2018,2021-02-05,,,,,,,2457394.0417,0.0009,0.0009,2457394.04186,0.00094,0.00094,,,,,,,0.45,0.31,0.31,,,,5.0,1.0,1.0,1103.0,64.0,163.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J00455526+0620490 b, EPIC 220481411 b, EPIC 220481411.01, WISE J004555.25+062049.2 b",,K2-216,11.480249,6.346971,12.48,,10.394,9.856,,115.84,0.7,0.7,0.0,0.12,0.12,0.7,0.03,0.03,0.72,0.05,0.05,K5 V,,,,4503.0,140.0,140.0,,,"2MASS J00455526+0620490, EPIC 220481411, WISE J004555.25+062049.2"
K2-229 b,Confirmed,0.00815,0.00135,0.00135,,,,0.102,0.003,0.005,0.58426,2e-05,2e-05,0.0131,0.0,0.0,0.0,,,83.9,2.8,2.8,,2018,2021-02-05,,,,,,,2457583.4691,0.0012,0.0012,,,,,,,,,,0.38,0.26,0.28,,,,,,,1818.0,15.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J12272958-0643188 b, EPIC 228801451 b, EPIC 228801451.01, TYC 4947-834-1 b, WISE J122729.52-064318.6 b",,K2-229,186.87326,-6.721861,,,9.518,9.126,,103.8,1.0,1.0,-0.09,0.02,0.02,0.87,0.01,0.01,0.79,0.01,0.01,G9,5.4,3.7,5.2,5315.0,31.0,35.0,,,"2MASS J12272958-0643188, EPIC 228801451, TYC 4947-834-1, WISE J122729.52-064318.6"
K2-233 b,Confirmed,0.0104,0.0069,0.009,,,,0.125,0.005,0.006,2.46746,0.00014,0.00014,0.03317,0.00045,0.00044,0.0,,,88.79,0.94,0.82,,2018,2021-02-05,248.0,35.0,53.0,,,,2457991.691,0.0025,0.0026,2457991.69112,0.00064,0.00064,,,,,,,0.2,0.14,0.15,,,,1.86,1.32,1.67,1040.0,26.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J15215519-2013539 b, EPIC 249622103 b, TYC 6179-186-1 b, WISE J152155.18-201354.2 b",,K2-233,230.47998,-20.231684,10.0,,8.968,8.501,,67.64,0.4,0.4,0.07,0.06,0.06,0.8,0.03,0.03,0.74,0.03,0.03,K3,0.36,-0.14,0.49,4950.0,100.0,100.0,,,"EPIC 249622103, 2MASS J15215519-2013539, TYC 6179-186-1, WISE J152155.18-201354.2"
K2-239 b,Confirmed,0.0044,0.0013,0.0013,,,,0.098,0.009,0.009,5.24,0.001,0.001,0.0441,0.0008,0.0008,,,,88.99,0.87,0.68,,2018,2021-02-05,,,,,,,2457908.191,,,2453075.191,,,,,,,,,0.44,0.29,0.33,,,,,,,502.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-239 b, 2MASS J10422263+0426287 b, EPIC 248545986 b, WISE J104222.60+042628.8 b",,K2-239,160.594299,4.441349,14.549,12.718,10.781,10.192,,49.0,3.0,3.0,-0.1,0.1,0.1,0.4,0.01,0.01,0.36,0.01,0.01,M3.0 V,,,,3420.0,18.0,18.0,,,"K2-239, 2MASS J10422263+0426287, EPIC 248545986, WISE J104222.60+042628.8"
K2-239 c,Confirmed,0.0028,0.0009,0.0009,,,,0.089,0.009,0.009,7.775,0.001,0.001,0.0576,0.0009,0.0009,,,,88.77,0.57,0.7,,2018,2021-02-05,,,,,,,2457916.86,,,2453083.86,,,,,,,,,0.73,0.39,0.24,,,,,,,427.0,19.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-239 c, 2MASS J10422263+0426287 c, EPIC 248545986 c, WISE J104222.60+042628.8 c",,K2-239,160.594299,4.441349,14.549,12.718,10.781,10.192,,49.0,3.0,3.0,-0.1,0.1,0.1,0.4,0.01,0.01,0.36,0.01,0.01,M3.0 V,,,,3420.0,18.0,18.0,,,"K2-239, 2MASS J10422263+0426287, EPIC 248545986, WISE J104222.60+042628.8"
K2-239 d,Confirmed,0.0041,0.0013,0.0013,,,,0.098,0.009,0.009,10.115,0.001,0.001,0.0685,0.0012,0.0012,,,,89.43,0.45,0.38,,2018,2021-02-05,,,,,,,2457908.381,,,2453075.381,,,,,,,,,0.39,0.25,0.25,,,,,,,399.0,15.0,18.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-239 d, 2MASS J10422263+0426287 d, EPIC 248545986 d, WISE J104222.60+042628.8 d",,K2-239,160.594299,4.441349,14.549,12.718,10.781,10.192,,49.0,3.0,3.0,-0.1,0.1,0.1,0.4,0.01,0.01,0.36,0.01,0.01,M3.0 V,,,,3420.0,18.0,18.0,,,"K2-239, 2MASS J10422263+0426287, EPIC 248545986, WISE J104222.60+042628.8"
K2-240 c,Confirmed,0.0145,0.0009,0.0022,,,,0.161,0.009,0.027,20.523,0.001,0.001,0.1159,0.002,0.002,,,,89.66,0.26,0.22,,2018,2021-02-05,,,,,,,2458005.722,,,2453172.722,,,,,,,,,0.29,0.19,0.18,,,,,,,389.0,17.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"K2-240 c, 2MASS J15112391-1752307 c, EPIC 249801827 c, WISE J151123.86-175231.2 c",,K2-240,227.849609,-17.875217,13.92,11.994,10.394,9.745,,70.0,3.0,3.0,-0.1,0.1,0.1,0.58,0.01,0.01,0.54,0.01,0.01,M0.5 V,,,,3810.0,17.0,17.0,,,"K2-240, 2MASS J15112391-1752307, EPIC 249801827, WISE J151123.86-175231.2"
K2-265 b,Confirmed,0.02058,0.00264,0.00264,,,,0.153,0.01,0.01,2.369172,8.9e-05,8.9e-05,0.03376,0.00021,0.00021,0.084,0.079,0.079,87.7,1.6,1.6,,2018,2021-02-05,,,,,,,2456981.6431,0.0016,0.0016,2456981.6431,0.0016,0.0016,,,,,,,0.3,0.2,0.2,,,,3.34,0.43,0.43,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J22480755-1429407 b, EPIC 206011496 b, EPIC 206011496.01, TYC 5818-486-1 b, WISE J224807.58-142941.1 b",,K2-265,342.031525,-14.494689,11.1,,9.726,9.312,,139.22,0.98,0.98,0.078,0.02,0.02,0.92,0.02,0.02,0.98,0.05,0.05,G8 V,9.7,3.0,3.0,5477.0,27.0,27.0,,,"2MASS J22480755-1429407, EPIC 206011496, TYC 5818-486-1, WISE J224807.58-142941.1"
K2-266 c,Confirmed,0.00091,0.00035,0.00053,0.00091,0.00035,0.00053,0.063,0.008,0.009,7.814,0.0015,0.0018,0.0679,0.0011,0.0011,0.042,0.03,0.043,88.28,0.41,0.81,,2018,2021-02-05,87.0,61.0,61.0,2457907.6,1.2,1.2,2457946.651,0.0064,0.0064,2457946.6511,0.0065,0.0063,,,,,,,0.6,0.28,0.14,,,,0.119,0.046,0.073,665.0,8.0,8.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J10314450+0056152 c, EPIC 248435473 A c, EPIC 248435473 c, K2-266 A c, WISE J103144.54+005614.5 c",,K2-266,157.93544,0.937571,,,9.611,9.041,,77.16,0.59,0.6,-0.12,0.42,0.4,0.69,0.03,0.03,0.7,0.02,0.02,K,8.4,4.8,4.1,4285.0,57.0,49.0,,,"2MASS J10314450+0056152, EPIC 248435473, EPIC 248435473 A, K2-266 A, WISE J103144.54+005614.5"
K2-291 b,Confirmed,0.02042,0.00365,0.00365,,,,0.142,0.006,0.008,2.225177,6.8e-05,6.6e-05,0.03261,0.00044,0.00044,0.0,,,85.26,0.2,0.23,,2019,2021-02-05,0.0,,,,,,2457830.06163,0.00104,0.00099,2457830.06163,0.001,0.001,,,,,,,0.646,0.026,0.021,,,,3.33,0.59,0.59,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 247418783 b, 2MASS J05054699+2132552 b, HD 285181 b, TYC 1294-1233-1 b, WISE J050547.01+213254.0 b",,K2-291,76.445793,21.54863,10.0,,8.765,8.407,,90.29,0.49,0.49,0.08,0.04,0.04,0.93,0.04,0.04,0.9,0.03,0.04,,3.72,2.0,3.7,5520.0,60.0,60.0,,,"EPIC 247418783, 2MASS J05054699+2132552, HD 285181, TYC 1294-1233-1, WISE J050547.01+213254.0"
K2-3 c,Confirmed,0.00673,0.00327,0.0034,,,,0.165,0.024,0.024,24.646582,4e-05,4e-05,0.1405,0.0067,0.0067,0.0,,,89.905,0.088,0.066,,2015,2022-07-27,,,,,,,2456812.28018,0.001,0.00098,2456812.28018,0.001,0.001,,,,,,,0.09,0.06,0.08,,,,0.67,0.32,0.32,344.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J11292037-0127173 c, EPIC 201367065 c, EPIC 201367065.02, WISE J112920.45-012718.0 c",H2O,K2-3,172.334946,-1.454787,12.17,10.999,9.421,8.805,8.561,45.0,3.0,3.0,-0.32,0.13,0.13,0.6,0.09,0.09,0.56,0.07,0.07,M0.0V,1.0,inf,nan,3896.0,189.0,189.0,,,"EPIC 201367065 , 2MASS J11292037-0127173, EPIC 201367065, WISE J112920.45-012718.0"
K2-3 d,Confirmed,0.00881,,,,,,0.135,0.021,0.021,44.55646,0.0001,0.0001,0.2086,0.01,0.01,0.0,,,89.788,0.029,0.033,,2015,2022-07-27,,,,,,,2456826.22346,0.00056,0.00056,2456826.22346,0.00056,0.00056,,,,,,,0.3,0.05,0.04,,,,0.71,,,282.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J11292037-0127173 d, EPIC 201367065 d, EPIC 201367065.03, WISE J112920.45-012718.0 d",H2O,K2-3,172.334946,-1.454787,12.17,10.999,9.421,8.805,8.561,45.0,3.0,3.0,-0.32,0.13,0.13,0.6,0.09,0.09,0.56,0.07,0.07,M0.0V,1.0,inf,nan,3896.0,189.0,189.0,,,"EPIC 201367065 , 2MASS J11292037-0127173, EPIC 201367065, WISE J112920.45-012718.0"
K2-314 b,Confirmed,0.02753,0.00343,0.00343,,,,0.174,0.008,0.008,3.5951,0.0003,0.0003,0.047,0.007,0.005,0.06,0.04,0.08,86.14,3.5,2.6,,2020,2021-12-01,225.0,123.0,67.0,,,,,,,2457994.396,0.005,0.005,,,,,,,0.42,0.25,0.28,,,,3.55,0.43,0.43,1616.0,80.0,150.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,EPIC 249893012 b,,EPIC 249893012,228.25,-16.724722243,11.4,,,,,324.7,4.2,4.2,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,G8 1V/V,9.0,0.6,0.6,5430.0,85.0,85.0,,,
K2-32 e,Confirmed,0.0066,0.0041,0.0041,,,,0.09,0.008,0.009,4.34882,0.00075,0.00069,0.04951,0.00055,0.00055,0.043,0.03,0.048,89.0,0.7,0.7,,2019,2021-02-05,205.0,134.0,106.0,,,,2456898.886,0.0079,0.0085,2456898.97863,0.004,0.004,,,,,,,0.22,0.16,0.16,,,,0.92,0.51,0.57,1066.0,18.0,18.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J16494226-1932340 e, EPIC 205071984 A e, EPIC 205071984 e, EPIC 205071984.04, K2-32 A e, WISE J164942.25-193234.6 e",,K2-32,252.426086,-19.542822,12.31,,10.404,9.993,,158.39,1.3,1.3,0.0,0.04,0.04,0.86,0.03,0.03,0.84,0.04,0.04,G9 V,,,,5315.0,60.0,60.0,,,"EPIC 205071984, 2MASS J16494226-1932340, EPIC 205071984 A, K2-32 A, WISE J164942.25-193234.6"
K2-36 b,Confirmed,0.01227,0.00346,0.00346,,,,0.128,0.007,0.007,1.422614,3.8e-05,3.8e-05,0.0223,0.0004,0.0004,0.0,,,84.45,,,,2016,2021-02-05,,,,,,,2456810.8916,0.0013,0.0013,2456809.4684,0.0017,0.0017,,,,,,,0.66,0.09,0.06,,,,2.6,0.7,0.7,1224.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201713348 b, 2MASS J11174778+0351590 b, EPIC 201713348.02, TYC 266-622-1 b, WISE J111747.76+035159.2 b",,K2-36,169.449066,3.866393,11.8,,10.034,9.549,,110.09,0.61,0.61,-0.09,0.04,0.06,0.79,0.01,0.01,0.72,0.01,0.01,K2 V,1.4,-0.5,0.4,4916.0,37.0,35.0,,,"EPIC 201713348, 2MASS J11174778+0351590, TYC 266-622-1, WISE J111747.76+035159.2"
KOI-1599.01,Confirmed,0.01447,0.00094,0.00094,,,,0.17,0.027,0.027,20.4415,0.0013,0.0013,0.14728,,,0.014,,,89.78,0.16,0.16,,2019,2021-02-05,230.175,,,,,,2454952.73,0.02,0.02,2454973.949,2454832.99182,2454833.00818,,,,,,,1.5875,0.546,0.126,,,,,,,755.0,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"K01599.02, 2MASS J19532972+4037063 c, KIC 5474613 c, Kepler-1659 c, WISE J195329.69+403706.1 c",,KOI-1599,298.373847,40.618421,,14.565,13.631,13.266,13.238,1168.99,29.11,29.11,0.052,0.3,0.2,1.02,0.118,0.154,0.97,,,,,,,5370.0,49.0,836.6,,,"KIC 5474613, 2MASS J19532972+4037063, KOI-1599, Kepler-1659, WISE J195329.69+403706.1"
KOI-1599.02,Confirmed,0.02832,0.00094,0.00094,,,,0.17,0.018,0.018,13.6088,0.0006,0.0006,0.112293,,,0.0114,,,88.6,0.06,0.06,,2019,2021-02-05,49.951,,,,,,2454960.32,0.01,0.01,2454952.73,0.02,0.02,,,,,,,0.5131,0.4561,0.0124,,,,,,,660.0,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"K01599.01, 2MASS J19532972+4037063 b, KIC 5474613 b, Kepler-1659 b, WISE J195329.69+403706.1 b",,KOI-1599,298.373847,40.618421,,14.565,13.631,13.266,13.238,1168.99,29.11,29.11,0.052,0.3,0.2,1.02,0.118,0.154,0.97,,,,,,,5370.0,49.0,836.6,,,"KIC 5474613, 2MASS J19532972+4037063, KOI-1599, Kepler-1659, WISE J195329.69+403706.1"
KOI-2700 b,Confirmed,0.00271,0.00271,0.0,,,,0.0946,0.0946,0.0,0.910022,5e-06,5e-06,,,,,,,,,,,2013,2018-11-20,,,,,,,,,,2454900.358,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,KOI-2700,297.004166667,44.775000022,15.9,,,,,,,,-0.2,,,0.632,0.063,0.063,0.574,0.05,0.05,,,,,4433.0,66.0,66.0,,,
KOI-4777,Confirmed,0.00107,0.00107,0.0,,,,0.0455,0.0027,0.0027,0.412,1e-06,1e-06,0.008,0.0003,0.0003,0.0,,,87.0,2.0,2.0,,2017,2022-06-10,,,,,,,,,,2454965.219,0.002,0.002,,,,,,,0.2,0.1,0.2,,,,83.0,83.0,0.0,1180.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-4777,287.262500001,42.032222235,17.0,,,,,170.66,0.74,0.74,0.1,0.1,0.1,0.41,0.02,0.02,0.4,0.01,0.01,,3.5,1.5,1.5,3515.0,69.0,69.0,,,
KOI-55 b,Confirmed,0.0014,,,,,,0.068,,,0.240104,4e-06,4e-06,0.006,,,,,,65.0,,,5e-06,2011,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,Theoretical,,"KOI-55 b, 2MASS J19452546+4105339 b, KIC 5807616 b, Kepler-70 b, WISE J194525.47+410534.7 b",,KOI-55,296.356105,41.092755,14.87,,15.356,15.593,,1180.0,95.0,95.0,,,,0.5,0.0,0.0,0.2,0.01,0.01,B,0.0184,0.001,0.001,27730.0,270.0,270.0,,,"KOI-55, 2MASS J19452546+4105339, KIC 5807616, Kepler-70, WISE J194525.47+410534.7"
KOI-55 c,Confirmed,0.0021,,,,,,0.077,,,0.342887,1.3e-05,1.3e-05,0.0076,,,,,,65.0,,,6e-06,2011,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,,,"KOI-55 c, 2MASS J19452546+4105339 c, KIC 5807616 c, Kepler-70 c, WISE J194525.47+410534.7 c",,KOI-55,296.356105,41.092755,14.87,,15.356,15.593,,1180.0,95.0,95.0,,,,0.5,0.0,0.0,0.2,0.01,0.01,B,0.0184,0.001,0.001,27730.0,270.0,270.0,,,"KOI-55, 2MASS J19452546+4105339, KIC 5807616, Kepler-70, WISE J194525.47+410534.7"
Kepler-10 b,Confirmed,0.0145,0.0046,0.004,,,,0.132,0.003,0.004,0.837491,2e-06,2e-06,0.0172,0.00168,0.00081,0.06,0.06,0.16,85.1,4.3,3.4,9.7e-05,2011,2021-02-05,,,,,,,2454964.57513,5e-05,5e-05,2455034.08687,0.00018,0.00018,,,,,,,0.3,0.2,0.21,,,,3.3,1.0,0.8,2130.0,60.0,120.0,,,0.58,0.25,0.23,,Published in a refereed paper,Primary Transit,,,"2MASS J19024305+5014286 b, K00072.01, KIC 11904151 b, KOI-72 b, KOI-72.01, WISE J190243.03+501429.1  b",,Kepler-10,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.81,0.81,-0.15,0.04,0.04,0.91,0.021,0.021,1.06,0.01,0.01,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,"2MASS J19024305+5014286, KIC 11904151, KOI-72, WISE J190243.03+501429.1"
Kepler-100 b,Confirmed,0.023,0.01,0.01,0.0231,0.01,0.01,0.118,0.004,0.004,6.88705,,,,,,0.13,0.13,0.27,,,,,2014,2021-02-05,,,,,,,2454966.17797,,,,,,,,,,,,0.54,0.02,0.02,,,,1.9,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19253263+4159249 b, K00041.02, KIC 6521045 b, KOI-41 b, KOI-41.02, WISE J192532.66+415924.6  b",,Kepler-100,291.385979,41.990273,,,10.081,9.804,,307.34,1.77,1.77,0.02,0.1,0.1,1.08,0.06,0.06,1.49,0.04,0.04,,6.46,0.56,0.46,5825.0,75.0,75.0,,,"KOI-41, 2MASS J19253263+4159249, KIC 6521045, WISE J192532.66+415924.6"
Kepler-100 d,Confirmed,0.00944,,,0.0094,0.0094,0.0,0.144,0.004,0.004,35.3331,,,,,,0.38,0.16,0.12,,,,,2014,2021-02-05,,,,,,,2454986.98031,,,,,,,,,,,,0.75,0.01,0.01,,,,-0.79,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19253263+4159249 d, K00041.03, KIC 6521045 d, KOI-41 d, KOI-41.03, WISE J192532.66+415924.6  d",,Kepler-100,291.385979,41.990273,,,10.081,9.804,,307.34,1.77,1.77,0.02,0.1,0.1,1.08,0.06,0.06,1.49,0.04,0.04,,6.46,0.56,0.46,5825.0,75.0,75.0,,,"KOI-41, 2MASS J19253263+4159249, KIC 6521045, WISE J192532.66+415924.6"
Kepler-101 c,Confirmed,0.01,,,,,,0.112,0.015,0.017,6.02976,7.5e-05,7.5e-05,0.0684,0.0014,0.0014,0.0,,,84.6,3.1,3.4,,2014,2021-02-05,90.0,,,,,,2454965.486,0.0088,0.0088,,,,,,,,,,0.75,0.36,0.13,,,,1.17,,,1413.0,210.0,238.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18530131+4821188 c, K00046.02, KIC 10905239 c, KOI-46 c, KOI-46.02, WISE J185301.32+482118.9  c",,Kepler-101,283.255489,48.355228,,,12.403,12.112,12.011,953.44,15.5,15.5,0.33,0.07,0.07,1.17,0.05,0.07,1.56,0.2,0.2,G3 IV,5.9,-1.2,1.2,5667.0,50.0,50.0,,,"2MASS J18530131+4821188, KIC 10905239, KOI-46, WISE J185301.32+482118.9"
Kepler-102 b,Confirmed,0.01353,0.01353,0.0,,,,0.042,0.002,0.002,5.28696,,,0.055,,,,,,,,,,2014,2021-04-12,,,,,,,2454968.8492,,,,,,,,,,,,0.06,0.06,0.06,,,,0.19,0.7,0.7,792.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-82.05, 2MASS J18455585+4712289 b, K00082.05, KIC 10187017 b, KOI-82 b, WISE J184555.80+471228.4  b",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 c,Confirmed,0.00944,0.00944,0.0,0.009,inf,nan,0.052,0.002,0.002,7.07142,,,0.067,,,,,,,,,,2014,2021-04-12,,,,,,,2454972.98486,,,,,,,,,,,,0.06,0.05,0.05,,,,-1.0,0.6,0.6,718.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-82.04, 2MASS J18455585+4712289 c, K00082.04, KIC 10187017 c, KOI-82 c, WISE J184555.80+471228.4  c",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 d,Confirmed,0.012,0.006,0.006,,,,0.105,0.004,0.004,10.3117,,,,,,,,,,,,,2014,2021-02-05,,,,2454972.9875,0.0032,0.0032,2454967.0792,,,,,,,,,,,,0.22,0.05,0.05,,,,1.37,0.6,0.6,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-82.02, 2MASS J18455585+4712289 d, K00082.02, KIC 10187017 d, KOI-82 d, WISE J184555.80+471228.4  d",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 f,Confirmed,0.01636,0.01636,0.0,,,,0.079,0.003,0.003,27.4536,,,0.165,,,,,,,,,,2014,2021-04-12,,,,,,,2454978.02565,,,,,,,,,,,,0.57,0.03,0.03,,,,2.11,0.8,0.8,457.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-82.03, 2MASS J18455585+4712289 f, K00082.03, KIC 10187017 f, KOI-82 f, WISE J184555.80+471228.4  f",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-105 c,Confirmed,0.01447,0.00267,0.00289,,,,0.117,0.006,0.006,7.1262,1.7e-05,1.7e-05,0.072,,,,,,,,,,2014,2021-02-05,,,,,,,2456464.5992,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,TTV,Primary Transit,"2MASS J19113295+4616344 c, K00115.02, KIC 9579641 c, KOI-115 c, KOI-115.02, WISE J191132.93+461634.0  c",,Kepler-105,287.887325,46.276237,,,11.811,11.555,11.503,465.33,5.56,5.56,-0.19,0.1,0.1,0.96,0.05,0.05,0.89,0.04,0.04,,,,,5827.0,94.0,94.0,,,"KOI-115, 2MASS J19113295+4616344, KIC 9579641, WISE J191132.93+461634.0"
Kepler-106 b,Confirmed,0.01668,,,0.00047,0.0088,0.0088,0.073,0.01,0.01,6.16486,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2454968.64035,,,,,,,,,,,,0.39,0.15,0.15,,,,0.05,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J20032735+4420151 b, K00116.03, KIC 8395660 b, KOI-116 b, KOI-116.03, WISE J200327.36+442015.2  b",,Kepler-106,300.863971,44.337555,12.882,12.706,11.752,11.494,11.431,449.98,6.13,6.13,-0.12,0.11,0.11,1.0,0.06,0.06,1.04,0.17,0.17,,4.83,,,5858.0,114.0,114.0,,,"KOI-116, KIC 8395660, 2MASS J20032735+4420151, WISE J200327.36+442015.2"
Kepler-106 d,Confirmed,0.02549,,,,,,0.085,0.012,0.012,23.9802,,,,,,,,,,,,,2014,2021-02-05,,,,,,,2454980.53263,,,,,,,,,,,,0.45,0.11,0.11,,,,-2.84,0.9,0.9,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J20032735+4420151 d, K00116.04, KIC 8395660 d, KOI-116 d, KOI-116.04, WISE J200327.36+442015.2  d",,Kepler-106,300.863971,44.337555,12.882,12.706,11.752,11.494,11.431,449.98,6.13,6.13,-0.12,0.11,0.11,1.0,0.06,0.06,1.04,0.17,0.17,,4.83,,,5858.0,114.0,114.0,,,"KOI-116, KIC 8395660, 2MASS J20032735+4420151, WISE J200327.36+442015.2"
